RANK,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
103,Senegal,5.05,5171,4921,2419,"0,933","0,530","0,447","0,494","0,143","0,081"
104,Niger,5,5247,4760,2667,"0,570","0,560","0,326","0,571","0,165","0,145"
105,Georgia,4.97,5079,4867,1583,1.47,"0,612","0,595","0,508","0,000","0,208"
106,Gabon,4.96,5091,4826,1892,1.46,"0,738","0,396","0,343","0,032","0,099"
107,Iraq,4.94,5099,4783,1894,1.29,"0,682","0,554","0,328","0,147","0,046"
108,Venezuela,4.93,5051,4800,2790,"0,000","0,968","0,578","0,283","0,225","0,082"
109,Guinea,4.89,5028,4753,2538,"0,848","0,566","0,275","0,334","0,214","0,116"
110,Iran,4.89,4995,4780,1427,1.41,"0,741","0,642","0,281","0,241","0,146"
111,Ghana,4.87,4999,4745,1972,1.11,"0,595","0,409","0,500","0,230","0,056"
112,Turkey,4.74,4845,4644,1059,1.71,"0,865","0,702","0,209","0,087","0,115"
113,Burkina Faso,4.67,4814,4527,2313,"0,779","0,565","0,320","0,382","0,186","0,126"
114,Cambodia,4.64,4765,4516,1410,1.02,"0,732","0,505","0,740","0,166","0,068"
115,Benin,4.62,4754,4492,2458,"0,932","0,064","0,335","0,479","0,127","0,230"
116,Comoros,4.61,4849,4368,2304,"0,899","0,476","0,424","0,185","0,195","0,125"
117,Uganda,4.6,4747,4459,1842,"0,777","0,875","0,418","0,402","0,222","0,066"
118,Nigeria,4.55,4651,4453,1784,1.08,"0,732","0,300","0,444","0,175","0,038"
119,Kenya,4.54,4683,4403,1661,1.03,"0,605","0,401","0,440","0,322","0,082"
120,Tunisia,4.52,4629,4403,1540,1.35,"0,596","0,656","0,316","0,029","0,029"
121,Pakistan,4.52,4634,4397,1940,1.05,"0,413","0,374","0,448","0,181","0,112"
122,Palestinian Territories,4.48,4665,4300,1368,1.15,"0,957","0,521","0,336","0,073","0,079"
123,Mali,4.48,4611,4347,2373,"0,792","0,483","0,311","0,350","0,128","0,042"
124,Namibia,4.46,4593,4326,1414,1.29,"0,877","0,354","0,384","0,067","0,071"
125,"Eswatini, Kingdom of",4.4,4607,4185,1688,1.27,"0,786","0,197","0,259","0,038","0,154"
126,Myanmar,4.39,4511,4277,"0,877",1.04,"0,829","0,491","0,513","0,452","0,194"
127,Sri Lanka,4.36,4487,4237,"0,595",1.42,"0,934","0,660","0,529","0,150","0,079"
